subject,bone,run,n,err_win,yaw,motion
2,footL,14545,67,-1.1184853346157764,-6.621856268846229,hand_clapping
2,footL,14547,34,-1.1215193309387916,-10.840859669047438,crossarms
2,footL,14885,35,-0.7128292867466912,-8.719877546904241,hand_waving
2,footL,14886,76,-0.25759132154223624,-11.768610803924792,phone_talking
2,footL,14888,55,0.47963063344460727,-7.044869252369674,stretching
2,footL,14889,66,-0.7762083006774743,-9.341862208592978,pointing
2,footL,15103,79,1.9981030478277086,-8.780945443878812,checking_watch
2,footL,15329,34,2.4350876798799503,-2.0661140861271186,sitting_down
2,footR,15721,61,-0.13297872200192876,-15.777924525737872,scratching_head
2,footR,15745,63,-0.6618832689954843,-6.422345058562097,hand_clapping
2,footR,15746,65,-0.9561196824257989,-11.134865946381678,crossarms
2,footR,16078,36,-0.6748283614214515,-8.79445178389926,hand_waving
2,footR,16083,41,-0.56646090750909,-12.681931589888459,phone_talking
2,footR,16100,42,-1.2224237346858164,-7.277591312130661,stretching
2,footR,16101,68,1.957032025687858,-9.328248796729099,pointing
2,footR,16350,80,1.8399909973710002,-8.716579931748004,checking_watch
2,footR,16593,45,-4.849923902435843,-2.087426233263465,sitting_down
2,hip,16979,59,5.219137800444774,-15.673394841516071,scratching_head
2,hip,17067,37,-1.6327710459566485,-10.654670642536217,hand_clapping
2,hip,17068,65,-0.5413183427704958,-11.134865946381678,crossarms
2,hip,17399,33,0.0026315543845163232,-8.643204277385074,hand_waving
2,hip,17402,58,-3.7345828249579176,-12.129158753808019,phone_talking
2,hip,17423,32,1.7068308010303952,-7.3398399217843036,stretching
2,hip,17435,48,3.0732458315743583,-8.834915146676398,pointing
2,hip,17739,68,15.230365317166763,-8.516065684269897,checking_watch
2,hip,18001,45,-8.858852975245107,-2.091277033712125,sitting_down
2,shinL,18952,47,-1.9794039243083525,-2.082687333481216,sitting_down
2,shinR,20033,53,1.4213882131728879,-2.0533344966368126,sitting_down
2,thighL,20951,48,-33.35431756102457,-2.083909346236132,sitting_down
2,thighR,22041,47,-5.015730841153149,-2.094687064345614,sitting_down
3,chest,22097,44,-2.381120699659993,-3.8598056114366144,checking_watch
3,chest,22983,36,0.682333472532701,-1.9780419503036495,crossarms
3,chest,23214,56,-1.814900055401863,-1.425019030540021,hand_clapping
3,chest,23274,75,-3.9106715889520394,-1.1046968437636668,vertical_jumping
3,footL,23816,69,1.1638864407065277,-3.003321322124118,checking_watch
3,footL,24683,31,-1.1250041902494603,-2.610728012297044,crossarms
3,footL,24780,40,12.5358291860852,17.755073897106445,taking_photo
3,footL,24835,69,-0.28826584704448444,16.323991057226387,pointing
3,footL,24836,65,-0.5886533343141984,-1.1280170014537148,hand_clapping
3,footL,24908,55,-1.737929175777246,-0.6696631456104188,vertical_jumping
3,footR,25461,65,0.44269575285706475,-2.8099128182926174,checking_watch
3,footR,26435,50,1.157033379964873,17.524147002565943,taking_photo
3,footR,26456,31,-3.0257151930360466,1.2900465907277021,scratching_head
3,footR,26486,42,-1.824015643650934,20.40282483835982,pointing
3,footR,26487,65,0.6616762570621201,-1.1280170014537148,hand_clapping
3,footR,26562,57,-1.9580597709651575,-0.7464725673207782,vertical_jumping
3,hip,27046,64,-0.4444688151396971,-2.7894348398563915,checking_watch
3,hip,28098,32,16.29665609786136,17.963540961211372,taking_photo
