cam,subject,motion,matched,bone,mode,win_s,err_raw,err_cal,dev_prior
PG1,1,cross_legged_sitting,1,hip,imu5,1.9,-23.912651098751375,-13.802772241207466,16.326908818013287
PG1,1,cross_legged_sitting,1,chest,imu5,1.9,-22.920021121916417,-9.75465382095501,13.188283089011637
PG1,1,cross_legged_sitting,1,thighL,imu5,1.9,20.897802163637053,-31.369106493386557,36.79961096857677
PG1,1,cross_legged_sitting,1,thighR,imu5,1.9,46.66488032725432,-2.577070830945441,11.886249582648027
PG1,1,cross_legged_sitting,1,shinL,imu5,1.9,54.63436246215313,-0.8697847013152158,3.88814761751903
PG1,1,cross_legged_sitting,1,shinR,imu5,1.9,25.772878601111533,-17.56909404509648,12.254580906386453
PG1,1,cross_legged_sitting,1,hip,none,1.7,-31.632341693845625,-14.14285208367835,
PG1,1,cross_legged_sitting,1,chest,none,1.7,-18.22474497894528,-5.059377677983901,
PG1,1,cross_legged_sitting,1,thighL,none,1.7,101.8026803153296,20.048796629207857,
PG1,1,cross_legged_sitting,1,thighR,none,1.7,96.39925354221901,-8.143231585253973,
PG1,1,cross_legged_sitting,1,shinL,none,1.7,140.48363797014446,55.49251577757794,
PG1,1,cross_legged_sitting,1,shinR,none,1.7,65.60170923398883,-33.040797381492425,
PG1,1,cross_legged_sitting,1,hip,imu1,1.7,-23.269379982117695,-13.159501124573785,14.342204065564093
PG1,1,cross_legged_sitting,1,chest,imu1,1.7,-18.22474497894528,-5.059377677983901,2.9019175886060142
PG1,1,cross_legged_sitting,1,thighL,imu1,1.7,19.59042244320698,-32.67648621381663,33.02463852576493
PG1,1,cross_legged_sitting,1,thighR,imu1,1.7,50.07725726414553,0.8353061059457652,1.6846722567787975
PG1,1,cross_legged_sitting,1,shinL,imu1,1.7,58.271380098021844,2.7672329345535034,2.8214594914679307
PG1,1,cross_legged_sitting,1,shinR,imu1,1.7,19.27971295591533,-24.062259690292684,23.79429882554296
PG1,1,cross_legged_sitting,1,hip,imu3,1.7,-23.269379982117695,-13.159501124573785,14.175847688334219
PG1,1,cross_legged_sitting,1,chest,imu3,1.7,-18.22474497894528,-5.059377677983901,6.095109535988297
PG1,1,cross_legged_sitting,1,thighL,imu3,1.7,19.59042244320698,-32.67648621381663,29.928199923032412
PG1,1,cross_legged_sitting,1,thighR,imu3,1.7,50.07725726414553,0.8353061059457652,1.3892462399986114
PG1,1,cross_legged_sitting,1,shinL,imu3,1.7,58.271380098021844,2.7672329345535034,8.353061352099623
PG1,1,cross_legged_sitting,1,shinR,imu3,1.7,19.27971295591533,-24.062259690292684,28.659334837607815
PG1,1,cross_legged_sitting,1,hip,imu5,1.7,-23.269379982117695,-13.159501124573785,15.51532101210313
PG1,1,cross_legged_sitting,1,chest,imu5,1.7,-18.22474497894528,-5.059377677983901,3.5281255761026222
PG1,1,cross_legged_sitting,1,thighL,imu5,1.7,19.59042244320698,-32.67648621381663,27.73943341031476
PG1,1,cross_legged_sitting,1,thighR,imu5,1.7,50.07725726414553,0.8353061059457652,0.2473547279338351
PG1,1,cross_legged_sitting,1,shinL,imu5,1.7,58.271380098021844,2.7672329345535034,0.5387678595406807
PG1,1,cross_legged_sitting,1,shinR,imu5,1.7,19.27971295591533,-24.062259690292684,24.372805775406796
PG1,1,cross_legged_sitting,1,hip,none,0.6,-14.527914883335434,2.961574726831866,
PG1,1,cross_legged_sitting,1,chest,none,0.6,5.959925477139276,19.125292778100658,
PG1,1,cross_legged_sitting,1,thighL,none,0.6,110.35767802674005,28.603794340618315,
PG1,1,cross_legged_sitting,1,thighR,none,0.6,120.03380016689916,15.491315039426143,
PG1,1,cross_legged_sitting,1,shinL,none,0.6,120.64938619089612,35.65826399832962,
PG1,1,cross_legged_sitting,1,shinR,none,0.6,104.63828103725412,5.9957744217728886,
PG1,1,cross_legged_sitting,1,hip,imu1,0.6,-8.700305087031557,1.409573770512353,2.285791468275644
PG1,1,cross_legged_sitting,1,chest,imu1,0.6,3.215826619968947,16.38119392093033,15.048575516323506
PG1,1,cross_legged_sitting,1,thighL,imu1,0.6,31.659301537173626,-20.607607119849987,20.979589198609887
PG1,1,cross_legged_sitting,1,thighR,imu1,0.6,39.59996067527334,-9.641990482926433,10.056598681563422
PG1,1,cross_legged_sitting,1,shinL,imu1,0.6,41.95100970132972,-13.553137462138624,12.897168665628428
PG1,1,cross_legged_sitting,1,shinR,imu1,0.6,24.204441545628328,-19.137531100579686,17.20233689013204
PG1,1,cross_legged_sitting,1,hip,imu3,0.6,-8.700305087031557,1.409573770512353,3.991398289925968
PG1,1,cross_legged_sitting,1,chest,imu3,0.6,3.215826619968947,16.38119392093033,12.111881565324326
PG1,1,cross_legged_sitting,1,thighL,imu3,0.6,31.659301537173626,-20.607607119849987,19.698197692343083
PG1,1,cross_legged_sitting,1,thighR,imu3,0.6,39.59996067527334,-9.641990482926433,8.033202634531778
PG1,1,cross_legged_sitting,1,shinL,imu3,0.6,41.95100970132972,-13.553137462138624,12.462018988494924
PG1,1,cross_legged_sitting,1,shinR,imu3,0.6,24.204441545628328,-19.137531100579686,18.72050496632133
PG1,1,cross_legged_sitting,1,hip,imu5,0.6,-8.700305087031557,1.409573770512353,1.6752706187313133
PG1,1,cross_legged_sitting,1,chest,imu5,0.6,3.215826619968947,16.38119392093033,20.680248817668396
PG1,1,cross_legged_sitting,1,thighL,imu5,0.6,31.659301537173626,-20.607607119849987,23.300134536999504
PG1,1,cross_legged_sitting,1,thighR,imu5,0.6,39.59996067527334,-9.641990482926433,18.107689891946805
PG1,1,cross_legged_sitting,1,shinL,imu5,0.6,41.95100970132972,-13.553137462138624,15.382187872917589
PG1,1,cross_legged_sitting,1,shinR,imu5,0.6,24.204441545628328,-19.137531100579686,23.45416248096634
PG1,1,phone_talking,1,hip,none,3.4,-4.096205818088567,-3.3131629511685987,
PG1,1,phone_talking,1,chest,none,3.4,-6.539584331214756,-5.38506795815587,
PG1,1,phone_talking,1,hip,imu1,3.4,-2.8312406314397642,-2.0481977645197964,1.5697790172389834
PG1,1,phone_talking,1,chest,imu1,3.4,-3.1904117289916334,-2.0358953559327473,1.842593841955887
PG1,1,phone_talking,1,hip,imu3,3.4,-2.8312406314397642,-2.945537352829293,1.7528602261255084
PG1,1,phone_talking,1,chest,imu3,3.4,-3.1904117289916334,-2.0358953559327473,0.5528955144748853
PG1,1,phone_talking,1,hip,imu5,3.4,-2.8312406314397642,-2.945537352829293,6.74550791990563
PG1,1,phone_talking,1,chest,imu5,3.4,-3.1904117289916334,-4.405763449148182,4.04532925795813
PG1,1,checking_watch,1,hip,none,3.0,-0.4182880246531392,0.8163051062266792,
PG1,1,checking_watch,1,chest,none,3.0,-2.47154231594675,0.12219230661560679,
PG1,1,checking_watch,1,hip,imu1,3.0,-0.25217500312797064,0.9682846162753426,0.08226867625956774
PG1,1,checking_watch,1,chest,imu1,3.0,-2.1452129894318275,0.4485216331305293,1.0922218666105297
PG1,1,checking_watch,1,hip,imu3,3.0,-0.4182880246531392,0.8021715947501741,3.4457513359475964
PG1,1,checking_watch,1,chest,imu3,3.0,-2.1452129894318275,0.4485216331305293,0.6515672158369168
PG1,1,checking_watch,1,hip,imu5,3.0,-0.4182880246531392,0.8021715947501741,3.3872019829403928
PG1,1,checking_watch,1,chest,imu5,3.0,-2.1452129894318275,0.4485216331305293,0.995574771531239
PG1,1,taking_photo,1,hip,none,2.5,15.178343762306833,4.290966821946386,
PG1,1,taking_photo,1,chest,none,2.5,14.976605718058941,6.365424893661881,
PG1,1,taking_photo,1,hip,imu1,2.5,14.664413638194072,4.872604690456482,3.838074828419036
PG1,1,taking_photo,1,chest,imu1,2.5,14.976605718058941,6.365424893661881,5.636951506569575
PG1,1,taking_photo,1,hip,imu3,2.5,14.664413638194072,4.872604690456482,3.8445451173504805
PG1,1,taking_photo,1,chest,imu3,2.5,14.976605718058941,6.365424893661881,3.261143295192538
PG1,1,taking_photo,1,hip,imu5,2.5,14.664413638194072,4.872604690456482,10.074722964081852
PG1,1,taking_photo,1,chest,imu5,2.5,14.976605718058941,6.365424893661881,7.199808775416294
PG1,1,crossarms,1,hip,none,2.0,-3.0867960285074276,-1.2502521993766604,
PG1,1,crossarms,1,chest,none,2.0,-5.490796238930959,-3.2173208550383787,
PG1,1,crossarms,1,hip,imu1,2.0,-2.048776098314782,-0.6359466898259873,0.9253195592910324
PG1,1,crossarms,1,chest,imu1,2.0,-2.405511312341068,-2.8774799056085505,4.472151254166428
PG1,1,crossarms,1,hip,imu3,2.0,-3.0867960285074276,-1.673966620018633,4.747291090651976
PG1,1,crossarms,1,chest,imu3,2.0,-2.405511312341068,-2.8774799056085505,0.8863445450871937
PG1,1,crossarms,1,hip,imu5,2.0,-2.048776098314782,-0.6359466898259873,6.724511264992559
PG1,1,crossarms,1,chest,imu5,2.0,-2.405511312341068,-2.8774799056085505,10.110842964389448
PG1,2,sitting_down,1,hip,none,5.0,1.6630578808285637,-7.6789535858441145,
PG1,2,sitting_down,1,chest,none,5.0,0.6492354534488193,-9.354987637675976,
PG1,2,sitting_down,1,thighL,none,5.0,140.60617141917365,-4.563577605021287,
PG1,2,sitting_down,1,shinL,none,5.0,158.83682913172697,3.6914671942514854,
PG1,2,sitting_down,1,hip,imu1,5.0,1.6630578808285637,-6.336416214306425,7.867627144216222
PG1,2,sitting_down,1,chest,imu1,5.0,0.6492354534488193,-9.354987637675976,9.944209685712826
PG1,2,sitting_down,1,thighL,imu1,5.0,52.2692969775695,-6.882037758342928,7.739681060805552
PG1,2,sitting_down,1,shinL,imu1,5.0,70.49995469012282,1.373007040929844,0.5650212836091419
PG1,2,sitting_down,1,hip,imu3,5.0,0.7861205987426789,-7.213353496392309,0.5002145991093817
PG1,2,sitting_down,1,chest,imu3,5.0,0.6492354534488193,-9.354987637675976,10.230472309065448
PG1,2,sitting_down,1,thighL,imu3,5.0,52.2692969775695,-6.882037758342928,13.458450393344954
PG1,2,sitting_down,1,shinL,imu3,5.0,70.49995469012282,1.373007040929844,3.5700933013743676
PG1,2,sitting_down,1,hip,imu5,5.0,1.6630578808285637,-6.336416214306425,17.738797024423956
